,becton dickinson,consolidated edison,docusign,centene,cerner,unitedhealth,uber technologies,microsoft,lululemon athletica,take two interactive software,nvidia,verisign,paccar,equity residential,automatic data processing,lam research,edison,willis towers watson,trane technologies,best buy,lockheed martin,mondelez,exelon,twitter,walt disney,public service enterprise,alphabet,yum brands,broadcom,duke,netflix,apple,charles schwab,fiserv,micron technology,regeneron,estee lauder,vf,dollar tree,transdigm,wells fargo,southwest airlines,xilinx,corning,mckesson,equifax,sempra,sherwin williams,baxter,costar,edwards lifesciences,goldman sachs,splunk,avalonbay communities,american,freeport mcmoran,international business machines,twilio,pnc financial services,general motors,hilton worldwide holdings,zimmer biomet holdings,skyworks solutions,intuitive surgical,delta air lines,ford motor,eaton,conocophillips,roku,microchip technology,pinterest,roper technologies,bristol myers squibb,colgate palmolive,northrop grumman,truist financial,starbucks,nike,t rowe price,cognizant technology solutions,cvs health,sysco,qualcomm,general electric,tesla,amphenol,johnson controls,spotify technology,aflac,valero,cme,accenture,altria,dow,dollar general,constellation brands,mettler toledo,walgreen boots alliance,ansys,american electric power,capital one financial,ppg industries,oreilly automotive,crown castle,chubb ltd,ihs markit ltd,linde,metlife,blackrock,intercontinental exchange,marathon petroleum,travelers companies,berkshire hathaway,comcast,ball,yum china holdings,costco wholesale,emerson electric,zoetis,corteva,moderna,union pacific,ringcentral,pepsico,monster beverage,waste management,veeva systems,schlumberger,medtronic,pfizer,electronic arts,prudential financial,dupont de nemours,palo alto networks,analog devices,cadence design systems,fedex,verisk analytics,autozone,mastercard,servicenow,cummins,marriott,danaher,cigna,square,american express,aptiv,vertex,humana,aon,eli lilly,home depot,xcel,crowdstrike holdings,rockwell automation,philip morris,abbvie,walmart,okta,otis worldwide,kroger,exxon mobil,abbott laboratories,thermo fisher scientific,us bancorp,dominion,lowes companies,allstate,stryker,ebay,progressive,verizon communications,digital realty,citigroup,autodesk,hp,nextera,chevron,kinder morgan,carrier global,prologis,marvell technology group ltd,cisco systems,agilent technologies,illumina,ross stores,boeing,clorox,keysight technologies,kimberly clark,honeywell,general mills,gilead sciences,idexx laboratories,motorola solutions,intuit,biogen,cintas,dexcom,intel corporation,anthem,mcdonalds,paypal holdings,resmed,united parcel service,global payments,alexandria real estate equities,morgan stanley,boston scientific,first republic bank,synopsys,wec,parker hannifin,d r horton,eversource,visa,maxim integrated products,adobe,workday,activision blizzard,advanced micro devices,alexion,caterpillar,amazon com,amgen,simon property,archer daniels midland,norfolk southern,coca cola,raytheon technologies,facebook,charter communications,ecolab,ametek,chipotle mexican grill,paychex,oracle
E,,,0.011413442575142776,,,0.0027132993905880655,0.001987353608156049,0.0007462743644299909,-0.000587900710865139,,0.0013412055530248551,,-0.0003340611828010706,,,-0.0010071325433642574,0.002148432641921442,,,0.0026403425348756316,0.0012962069278739715,-0.0010402020828793749,0.0019954643720791858,-0.0003952429955791587,0.0014763834182436146,0.007573473221579661,0.00019297862230040588,0.0009672633844353637,0.001811173984219309,-0.00056215034774236,0.00015049593174566413,-0.0017324314763259776,0.0001610488841545758,,0.001311764549414559,0.003223925967350212,,-0.027812698716970414,-0.0012234705798409215,,0.0003381002023731537,-0.00011097076806892583,,-0.0002800998474158663,-0.0017875682583528318,-0.003304559270010786,0.004392068309800595,0.006034464346581536,0.00328174726477429,0.0014278146530217564,,-0.0001704533402712282,-0.0017892010200060095,,-0.0014978885406233293,0.00023486361693174037,0.002069230584138264,,,-0.010255782263283565,,,,,-0.00016504495732049397,-0.0006042239136247873,0.0019830475726437713,-0.0010884110938509616,0.011513014762988598,,0.0024345137314931917,,0.0018386871609355443,-0.0006106448797513534,0.001418566842171989,,0.00047996883688613135,,0.004090457175791824,,,,0.0009731960097408075,0.0008525680090038895,0.0011001755916628323,,0.00321680417407475,-0.0010071325433642574,-0.00033831852620667057,0.00023011470549919518,-0.004656783024016325,0.0030497891941810604,,0.0012633202648694836,1.322917524812654e-05,0.0004433164858038704,0.0003572009782115265,-0.00016051362617821923,0.00038087888159973405,0.0035531233201456396,0.00030703152224949065,,0.002994365853496556,,-0.004291600810715386,,0.010786055408056182,-0.0009722780208447357,0.00019280974033552496,-0.0026843270823741655,-0.0020333735873533463,,0.0013396747765290348,-0.0019554205855133134,0.0018364150874348958,,0.0010783022378465256,0.00423034316999481,0.00328174726477429,-0.0074207399533490065,-0.00017489611094819878,0.001354689670118996,0.005869835379793133,0.000480712041661091,0.0018203442066706708,0.007389443945572536,,0.002805974568522589,1.284481371143485e-05,-0.0004083609855239091,,-0.002353400997037042,0.0019528131396073418,0.0017761402181532297,0.0036030353850721765,0.0019116316990569204,0.00010233460476071347,0.003168467350289862,-0.0006572064908087736,0.0018280194918835614,-0.001137939796495924,0.003130834651504287,0.004780052957456471,,0.0006886671111911886,0.0021082813732644775,0.0026594946108610376,,0.0173847877625665,,,-0.00166565439679581,,0.0020535778522290473,0.0008616464337148222,0.004247056637638998,0.0004696112030076443,0.005229548543921075,0.00035951775815948794,,,0.002081950435149128,-0.0011536454431365626,-0.0011576695735150935,0.0062655035516478936,,0.00035327496977933414,,,,0.00043383055419757256,0.0006051080672742977,0.006735716477780214,0.004579377410552515,-0.0007373909698959177,0.006186169806115232,0.0014926197057150592,0.0021002257337843448,-0.0007280535633493858,0.0017127589470052522,,-0.001159440068045759,0.014178439873385735,0.0012143159288517287,0.0005116226581168273,,,7.04928921452781e-05,0.002124455962964559,0.006889064399038195,,0.002309077461037292,0.0889886948862547,0.0009734754817294845,0.0008573686507697505,0.0018777744420009563,,,,,0.009431355829968216,,-0.0005156279052758512,-0.0028737671367360896,-0.0046627031762814354,-0.00016029267181840787,,0.0015441055852931868,0.0003276999064851951,-0.00022720028907069733,,,,0.004733084578743254,,-0.0014550803940856134,0.001969500103228365,0.004516223001392846,0.00076207523956096,,,,-6.752231216210192e-06,0.00410959027984278,,0.0010696522150880781,-0.0037204482695661657,-0.00014611010972432004,0.0017745035032712495,0.0016425611913444605,0.0009439550892570424,0.00026364394325627846,-9.747814759452419e-05,0.048683249039845757,0.0018641393609811305,0.0034970969330187338,,0.0017401860329297174
S,0.0034234473662298815,,0.005182016861915417,-0.0019802149293851627,0.002787549980580917,0.0012868387554402423,0.001733018918381919,0.0008495529500049216,0.0012692131657914994,0.001993557547713242,0.002308382725959286,0.0005582024608812965,0.005979528824916194,0.0026549257120185798,0.0029751392778676576,0.0015342956211736448,0.003951224255623629,0.003023085226507746,,0.0022500520533059102,0.0009938864313166883,0.0006822049184185996,0.010997542865823651,-0.0007200489295238949,0.0006059475173714051,0.008665002772921699,-0.0015465677412804218,0.0019424591423430231,0.0026465021440728606,0.0019732777091093076,0.0015753398065769925,3.936137210206514e-05,0.00010829074212784905,0.009063741497370428,0.0002835760760532669,0.00015300718691818292,,-0.000657680484956925,0.0008725481496901844,0.002904873265310563,0.001001641991093932,-0.0018571705371302183,0.0034718257030545755,-0.003370867390179593,0.0005292593370183577,0.000749779791514277,0.0046988242456129006,0.0036088363153640116,0.0026032922621741675,0.00024098581883118033,0.004539812790880178,9.81298286269056e-05,-0.003405515997146643,0.004653007967589052,0.002037897760815619,-0.003950709999387836,0.002284772735156816,,,0.0030824881817818426,0.0021301727600705413,-0.021612988290753383,0.003534109048451967,,-0.0007539452855755173,-0.0012538333885833085,-0.0011574209073085026,-0.0010293608122324148,-0.004641521713550218,0.003091259590473916,0.0015447768671509956,0.0037740189672978873,0.000476826598963832,-0.0003070081216795485,0.0013701922620764533,-0.0019786912660313513,0.002979381036428188,0.0024376311223052683,0.0005599113518063984,0.0037959617489496653,0.00539829115445226,,0.002462842700412754,-0.00960508031977958,0.001040046072218572,0.014408220271178147,0.005430901144544756,0.003101735008390841,0.0013077465910095601,0.0012947094672494822,,0.0036751200754729417,0.0028528577428623084,0.0010490543980284405,0.00064380761077208,0.0011610866503681445,0.011162023534743609,0.000774435677344233,0.008594907685507091,0.004540709999967455,0.002252756657234986,,0.0013594159159564642,0.0003241793235187068,0.0022119656837651996,0.0009849510339554213,-0.00022877352884009643,0.001904941944100631,0.0006222191147685508,-0.001426337069099381,-0.0020389618804857383,0.002699936185162956,0.0023192249048205648,0.0007767622230061618,0.00231015678494767,0.0010391904650644528,-0.0016229128565055458,0.0002610404483191347,-0.0034129376012568746,-0.0065257636589767095,0.00029568595342459965,0.0022465015306328937,0.009159532199852988,0.0014575929407955426,0.001443408702193263,-0.0032231284473763695,0.0012437797112780523,0.006017742977693669,0.0016160879469400914,-1.8337875885174073e-05,0.0019436703743043577,0.0015818008175239745,0.007391005833001881,0.0038939514122754417,0.0008233491195824816,0.0025360005801420946,0.0008184889980363293,0.0037402290241026377,0.0008710083326204395,-0.0009496597853843149,0.0016077565748313918,0.0021825278784957953,0.0031445573737334093,0.0022824031207762108,0.001494633919656516,0.0016639659954580202,0.0013410901419046168,,0.0001217386001437778,0.0133487810415932,0.004188049593368053,0.00032436434594788465,0.0018984738758323228,-0.0003474088645334953,0.0024649457713647152,0.006246562652386217,-0.00025089594138531617,-0.0015769248238909736,0.0010366401896720547,-0.00017011220569202595,0.005287704725653885,0.0022448447214159957,-0.0008783524624363829,-0.0012521932455623024,0.001526776568363642,-0.0024374641332365545,0.0008294681145520691,,0.001670207797345247,-0.0027597010943821876,0.0019778113951559075,0.0007875371526999758,0.003352858946479349,0.0018301433250569603,-0.000179957378934708,0.007012199691506354,0.002598195009817357,0.0021180169070801782,-0.00040602542532629324,0.0003357274788921371,0.0010784181324051123,0.0008036220714353383,-0.0008295855932393429,0.0022468937264422395,0.002869882960150471,0.0024672285876223394,-0.004403576522665967,0.00014486359969796055,0.0015563225056819366,0.006216424963048753,-0.0011439905056737148,0.00360859449487081,0.08914909474377188,-3.309877695157926e-05,-0.004297492189399657,0.0036083310876057328,-9.493384234793398e-05,-0.0004036936678735237,0.00662733347275695,0.004135744191063666,0.0058952757667227445,0.0051542136598052134,0.0016187506445122005,0.001269699848760721,-0.00017259502253965265,0.0012524362729061764,,0.01121217037989168,0.00046852802563504,0.00032472738424979005,0.01727007658277175,0.0017006622052906275,,0.003079261635244502,0.0004531414745780173,-0.0010815634402245242,-0.0006512836922280419,0.0036241249453309015,0.0013605756633128469,0.0024380195689106708,0.012940952946915746,0.003283802178836312,0.002476036333615782,0.0015315650926909117,0.004109704479858383,0.0001972252630958637,-0.0009720920396811161,0.00601824590088882,0.0018040669968104575,0.0018209909781315402,-7.90646897160011e-05,-0.00038647713687627716,0.0008442894147796974,0.005989612938257388,0.0017026498877525365,0.002508045664101546,0.0015305969184144887,0.0017066320699203378
G,0.005033732962245639,-0.0013166300132210623,0.0071444777163491,0.00025301386579678785,0.0016241616035677273,0.0022070984249323703,0.004236464200401501,0.000667267584092744,0.001716498723258982,0.0022281380290567337,0.002898995749716365,0.0024244168191634653,0.005325251207953385,0.0022143192156412464,0.004526910729281389,0.0028443873422492444,0.004090197460528436,0.0023755894342546184,,0.00308005038474653,0.0007554989441802091,-0.001384141786267781,0.0023722083392474043,-0.00043776996060970074,0.0005107372035144167,0.0030962186378459032,-0.0019258066479935817,0.0020613877391630394,0.002689797069606218,0.0017929596923282718,0.0007023031878911585,-0.001072823700540703,0.0004687791864875759,0.0059777696927488235,0.001935986337382405,0.0010283376816004777,,0.0039035607176477593,-0.004859600093217035,0.002599768771164447,0.0014434739255140903,-0.0026122071390280665,0.001689093146459494,0.0003307594609858237,0.00044886305682999555,-1.0866881867355507e-06,0.004509851780865949,0.0012379015558560448,-0.0009072043335843701,0.00038899950532002975,0.0032278871340777272,0.0001399318681431036,-0.0041499127916020525,0.005284807905546813,0.0025671746821108797,0.0011329152418493337,0.0013423676610363165,0.0017751068501712624,,0.0034388494141447635,0.0012571918137155556,0.00019266420604240734,0.002560390808796759,0.0035487195382564647,-0.0014594535467348153,-0.0009241172424909259,0.0022512683622634114,-0.000994791538094705,0.005659430304819253,0.007223901506539172,0.0010112595808895917,0.0037467505642632556,0.0006298636242724685,-0.005352381672231731,0.002054484191835225,0.0017208729587089486,0.0015073251173909406,0.015914136864215358,0.001336366023087781,-0.005564577080285845,0.0012609947435436065,,0.0018340169762893215,-0.00963234872281421,0.0005343973325166171,0.014711684318212235,0.005287028424884554,0.0019679068055233856,0.0005071569125971796,0.0042303034611764255,0.0100193917438956,0.003793485524382274,0.0033881333464666186,0.0006702323154542322,-0.0049752266834241065,0.0022388900738029914,0.010781644929420893,0.00043303671349707385,0.0027829332435737124,0.004412629613813219,0.0020838107641528614,,0.0025280649220030624,0.0003653247657880147,0.0021109913207640724,,0.0009576291643239121,0.00426267807762999,0.000644921738362402,-0.0012392911235633364,-0.004251659177216886,0.0010450557570099584,0.0016800099437977362,0.0012486201306349401,0.002657081185502376,0.000597346375697023,-0.0011581926211720096,0.0013179094651769431,0.003051140899308712,-0.0035318191547234865,0.00013533440623368577,0.0025286557422654664,0.01015470871028702,0.0014377306649322036,0.0013055813592088873,-0.0023751139961637555,0.0006278734109092486,0.003853734446164549,0.005662460279013104,-0.0005362060204866246,0.0037031705048369036,0.0011846158694509977,0.007254580880786244,0.003789565049263238,0.003100869306647978,0.0014591549826503498,0.0011445146489754787,0.003477553819542616,0.0012372316253002563,0.0014232962663736372,0.0014797271379961463,0.0022400999208869025,0.001178841906656201,0.003504004049348742,0.0022269301238288194,0.002063518934315867,0.0017358047443130117,0.0035932957394885384,0.0019310592695980025,0.013106126197977632,0.003924949339116715,0.0008315089100138175,0.0017111444297676416,0.0007649424739758439,0.003110376519242686,0.004923235985823693,-0.0008616492480811081,-0.000911552767325951,0.00030120006437975115,0.0017914314146501703,0.004907159312109919,0.0017555602330361591,-0.0011496919767333433,0.0011121316036625207,0.0020024122372909125,-0.002878070629613888,0.0016917010605120048,,-0.0008845833187209142,-0.0018953628191180328,0.0013988154248148464,0.0004740258443242248,0.0022935925720525526,0.001813394048214085,-0.0005063673384058064,0.006944776114974907,0.003030413999055261,0.0017437221567337597,-0.0008549694695659064,0.001750879679737806,0.006217472191902493,0.0008585170040510823,0.0043708480900753076,0.0023979084703901693,0.0015352515556453735,0.00309123912801453,0.002760480436556173,-0.00015775644254181623,0.0010555787402399708,0.004791224243439028,,0.003214059586129396,,-0.00026570966841668283,0.0022094871937485775,-0.005074349817871228,0.0013839629972035327,-0.0016554103081828481,0.0009873021346132873,,0.005325184577272267,-0.0006130598248426715,0.0009362900716721421,0.0027521421670640674,-0.00048482134578661725,-1.4167171031209538e-05,-0.0072998802760483724,0.011074343036907304,0.00042135399967521865,-0.0025403115200974763,0.010597092235435009,0.002436469459487049,-0.0036788483634286034,0.004922341155222832,0.001601648029116228,-0.0009006324309193942,0.0015078623870051814,0.0037621280569414862,0.0007411889886207916,0.0030762717205300265,-0.005644458641213539,0.0005745333628376738,0.001915302651330049,0.0014653181219155581,0.0036690979834810493,0.001040221915448895,-0.0007394982133377779,0.005448372722385613,0.0014682810207040143,0.0020356660513225445,0.0020182502779925956,3.139695397674844e-05,0.001183939343477781,0.005869327939572868,0.0015510215037505292,0.0018197533394341086,0.0029930587803709825,-0.00047839474865895226
T,0.0025019135170726283,-0.02285672860376562,0.006498018910667447,-0.002218825543320039,0.0012826812899203112,0.0009182148343525803,0.003234137665782997,0.0006462299712330226,0.0008722050325881795,0.0022633081017390116,0.0020588342627967677,0.0011515396077664349,0.005824855289169861,0.0015499179389041864,0.002525828382894274,0.0026377248716090694,0.003751887496349212,0.002401173892484757,-0.00028715240011583894,0.0028140464409846942,0.0012267540706038334,0.001613001684850104,0.010559136275616676,-0.000767455441564379,0.0007825825119958406,0.006623517251800548,-0.0015892859407114165,0.02229786981112178,0.0019863586023886187,0.0014717294624478807,0.0019796165862214993,-0.000313949639890973,0.000257097826061136,0.003524548974130676,0.0011481796287628539,1.9981681417106088e-05,0.0002122619001087778,6.247805255619066e-05,-0.004069850817499223,0.0026181316465928722,0.0008630376445105201,-0.0015676997119726196,0.002094170764918341,-0.001912024278612003,0.0006070066811314098,-0.0006500696497458308,0.004627047295909345,0.0024212420890138723,0.0002987938140776427,0.0010023724813884572,0.0075124835592076215,0.0002677686828706642,-0.0019052512560587692,0.004305763341663068,0.0008993989467979511,-0.000930812059483364,0.0016987635879731214,0.002455733415985181,0.026252936466012615,0.0006932871996676042,0.001204241235319017,-0.014992026785363127,0.0021580446506633062,-0.004275581472381175,-0.0007456368573123632,-0.0004951303944116914,7.382322293695031e-05,-0.0006555629479985793,0.0030922436848589098,0.0029677906481714875,0.0016604807287862774,0.0014235478268262985,0.0010174385434904094,-0.003457749444710438,0.001281672109490923,0.00168537211185499,0.003609725877943344,0.00030975716978179525,0.0010198474016204983,-0.006357605899469503,0.005198615915171135,0.0022502425884839967,0.0023787285661476163,-0.0020203835962244177,0.0008096357435285303,0.005805692726648783,0.0044695906671133375,0.0021481964340465047,0.0007052945521146101,-0.00020176736330407698,0.00797152786276789,0.003393489045509095,0.003298120579383253,-4.493591905996362e-05,-0.0044511080535685685,0.0018903043042231911,0.006720978548248735,0.0004155051105660917,0.00608624503570028,0.004105050049506979,0.0018254912394147324,0.0016441252612596274,0.0011807413579683302,0.00044441691910851065,0.002088190700638152,0.0010576731755112558,0.00018994530071735207,0.001748205371414634,0.0006417625779917708,-0.001355452301282703,-0.0013031597799745193,0.0007600275540602972,0.0019093634349251671,0.0009777928938130402,-0.03412884994649761,0.0005876265538945467,-0.0008130006208762635,0.0036905459263553344,-0.001666048918166399,-0.006915905364906612,7.600735939516609e-06,0.00047028307384212816,0.00904687491619833,0.0018053684293101915,0.0013165182413013782,-0.011538844799207625,0.0022780779279987424,0.002895558917506564,0.001067316941193149,-0.00024380172308143588,0.0016351987541062892,0.001872130781844655,0.004975259530264872,0.003103394468681215,0.0013259699128934039,0.011334326989333014,0.0005038472911509161,0.003522591959013411,0.0003581665468447098,-0.0006983061826731946,0.0015762964758292328,0.001247646362237368,0.004343387069361242,0.0020250489926180596,0.0020847258575573875,0.002163215415600016,0.001471513809505513,0.001413028727374927,0.00016945319505271396,0.021580751891988326,0.003943196028716232,0.0001836935303347113,0.0018979575652932786,0.00023817121525591427,0.002436979419700436,0.004102841970043216,0.0004158328355496758,-0.00036760533941255016,0.0005536835307783025,0.0023001208718520794,0.004884317980288452,0.002037967831570631,-0.0007350625255424329,0.0003780513376626558,0.0013403510896538647,-0.0026923786648724163,0.0007317093357760477,0.0007339516731197626,-0.0009098720918854573,-0.004624652082585611,0.0014388804809332295,0.0004464900036230633,0.0025070094855487767,0.001743489068447949,-0.00024413983742672274,0.00451908738822106,0.0017764896507560125,0.0018198960597290946,-0.0006041847074329378,0.0018317379949149165,0.013297816277382244,0.0013031700819489725,0.00476108465180775,0.0019545389218829858,0.0014120225024307324,0.001662401272541878,-0.0038913996346667005,-9.931169148721913e-05,0.0007646481337446919,0.0053759484253316355,0.0030632750056714055,0.002565517451330183,0.04503508126862454,-1.3747446693033842e-06,0.00014439481733834205,0.0018774280524864139,0.0014659021375209751,-6.009645001658581e-05,0.006250090902073679,0.0029228305024377055,0.003240143356009141,0.000461684773425158,0.0015365445976848577,0.002288936834668039,-0.0012419663008248042,0.00033730369933791023,-0.007343138293135891,0.011085279918999795,0.0005799845742277991,0.0005633953705049786,0.01067851755189501,0.002787114292252891,-0.0037016896952500704,0.0021881199021271175,0.001740284402026325,-0.00022738625955530514,0.000178192414517222,0.002276154033297505,0.001830262417039221,0.002265202174334476,-0.017850866734199514,0.0021428313659718197,0.0014994911814116703,0.0017026933539927437,0.0024584691307379166,0.0005098541396197189,-0.0004210517931396025,0.00407682211670581,0.00029759967882075363,0.001966396544902079,-0.0002166153681117149,-0.00023458795805896,0.0006949410284941579,0.0026788048700017233,0.0028980584878099914,0.0032666457905183434,0.004108585544687417,0.000457060787878478
