0,1,2,company
0.2736733,-1.4321208,-0.4748122,hp
0.24416667,-0.3263903,0.054220114,paypal holdings
1.3191943,1.817167,1.058465,travelers companies
-0.7091397,1.7707828,-0.111055814,sempra
1.7595857,2.3026006,1.6260079,analog devices
-0.16208915,-1.29064,-0.10706354,chubb ltd
-0.5997704,0.95114285,0.5924345,starbucks
1.6999874,-1.5923806,-0.12227052,cvs health
2.0065424,1.512966,1.5212793,equifax
-0.12820458,-1.4947392,-0.039514374,maxim integrated products
-0.23567426,1.9992299,-0.45564687,freeport mcmoran
1.4340334,0.020717667,2.2342877,allstate
1.7156026,-0.11855278,0.68781686,citigroup
-0.9041129,1.4443327,-0.230027,eaton
-0.48036435,0.16525501,0.57401836,home depot
0.94213074,-0.16961657,-0.16530688,adobe
-0.3720027,-0.66687775,0.6147722,comcast
2.9780664,-2.033245,-0.7780684,cisco systems
1.5918947,2.1729746,-0.9487851,electronic arts
0.12463376,1.5720135,-0.23702987,philip morris
-0.37595072,-0.6538958,-0.28536987,advanced micro devices
0.9116913,-1.3723794,-0.15748145,ross stores
-0.34778243,1.3094099,-0.70124125,costar
0.17767574,2.0976691,-0.30436,veeva systems
0.69174486,0.21019997,0.42079794,xilinx
0.64308745,-1.0984437,-0.71074754,rockwell automation
2.44268,0.2613725,-1.2982413,caterpillar
0.019686317,1.4527583,-0.30101115,skyworks solutions
0.10212463,-0.69952923,0.08197311,colgate palmolive
1.3457555,-1.3527619,-0.04301688,conocophillips
-0.34688845,-0.014714739,-1.1443276,capital one financial
0.98526263,1.174974,-0.40695596,unitedhealth
-0.59399945,-0.6771055,0.59994775,aptiv
-0.7007413,0.25067413,0.06547513,intercontinental exchange
-0.28087977,1.5303594,-0.005887328,boston scientific
1.1637998,-0.855941,0.10866527,willis towers watson
-0.57563764,0.18707573,-0.5695317,danaher
0.7964926,-0.18127201,1.2697433,dow
1.492347,2.2730684,0.044049416,microsoft
-0.30038026,-0.095341414,0.40141058,cognizant technology solutions
-0.4036914,-0.39711946,0.63761044,goldman sachs
-0.26485097,0.39543453,-0.1488786,chipotle mexican grill
1.7753086,-1.1850008,-0.044509288,verizon communications
-0.56204545,-0.10867889,0.20832697,duke
0.057338886,-1.0283805,-0.38258198,alexion
0.32935408,1.3466923,-0.028208582,united parcel service
1.8642088,-1.1855158,0.18753715,marathon petroleum
2.213885,-1.6132455,-0.042266674,biogen
0.69971484,1.5586249,-0.38089076,agilent technologies
1.1616102,-1.2973412,-1.5799061,mcdonalds
2.5003326,-1.6363014,-0.29610533,ecolab
-0.3839064,0.7353247,-0.6452439,avalonbay communities
0.55339473,-0.75105804,0.16436812,chevron
-0.18353128,-0.16436909,-0.01610839,aon
0.6698165,0.32184443,0.024098579,edison
-0.027481804,-0.1861059,-0.06352849,micron technology
0.53863055,-0.3394048,0.9879853,ringcentral
-0.45789236,-0.83083194,-0.54037464,kinder morgan
0.69587684,0.32544845,-0.11408103,berkshire hathaway
1.0736765,-0.098881096,0.26600593,spotify technology
-0.030029185,0.8897037,0.01240319,okta
-0.1265148,0.49183697,0.15139382,kroger
-0.7031964,-0.08782286,0.62144,dupont de nemours
0.1490593,0.6227388,-0.0026761435,t rowe price
1.2385889,1.8814915,-0.8937024,mckesson
1.2422858,-0.58218974,-0.08646402,d r horton
-0.13494192,-0.44257012,0.11377419,alphabet
-0.5421289,-0.67814356,0.1788009,nike
-0.3798461,0.11441881,-0.12648979,mondelez
0.7370863,-0.74528766,-0.11895958,roper technologies
0.3650094,-0.458314,0.16465698,exxon mobil
0.46640322,-0.052827295,0.022696644,norfolk southern
-0.39052808,-0.7563873,0.765914,tesla
-0.714551,-0.50358963,0.17185232,walt disney
-0.39376372,-0.07479606,-0.02440296,sherwin williams
-0.51259804,-0.48219424,0.16559416,walgreen boots alliance
-0.1404859,0.61199784,-0.46496785,motorola solutions
-0.09452023,-0.28394568,-0.0070680664,ford motor
-0.40541995,-0.1722838,0.40031016,nextera
-0.35098496,-0.22340254,-0.11838186,baxter
-0.43040532,0.11068067,-0.19866808,square
0.6817368,0.23602445,0.048080012,centene
-0.08655459,-0.43039918,-0.11539027,us bancorp
0.2234858,-0.30831775,0.18419828,activision blizzard
0.09231183,0.20192601,-0.32840413,oracle
0.2689187,0.008493708,0.051789194,qualcomm
-0.49734122,-0.43125987,0.38535833,honeywell
-0.116308846,-0.027225995,0.009572683,idexx laboratories
-0.64455074,-0.9928947,-0.0016342672,equity residential
-0.40616482,-0.04988259,0.31761846,palo alto networks
0.08815929,-0.6773707,-0.92095155,intuitive surgical
0.551794,-0.53936327,-0.50258446,nvidia
0.18277624,-0.64431125,-0.87142795,exelon
-0.15722966,0.09989753,0.13936038,gilead sciences
-0.34756207,-0.26899475,0.122869,johnson controls
1.2381374,-0.8039264,-0.6987326,autozone
-0.15321401,0.9603625,0.098031,regeneron
-0.5035938,0.3851971,-0.02731963,medtronic
-0.08537819,-0.4238489,0.13448638,wells fargo
-0.37868336,-0.35843262,0.20224813,best buy
